,title,artists
0,save your tears,the weeknd & ariana grande
1,leave the door open,silk sonic (bruno mars & anderson .paak)
2,peaches,justin bieber featuring daniel caesar & giveon
3,rapstar,polo g
4,levitating,dua lipa featuring dababy
5,kiss me more,doja cat featuring sza
6,montero (call me by your name),lil nas x
7,astronaut in the ocean,masked wolf
8,up,cardi b
9,drivers license,olivia rodrigo
10,blinding lights,the weeknd
11,deja vu,olivia rodrigo
12,beat box,spotemgottem featuring pooh shiesty or dababy
13,calling my phone,lil tjay featuring 6lack
14,on me,lil baby
15,best friend,saweetie featuring doja cat
16,heartbreak anniversary,giveon
17,beautiful mistakes,maroon 5 featuring megan thee stallion
18,what you know bout love,pop smoke
19,mood,24kgoldn featuring iann dior
20,my ex's best friend,machine gun kelly x blackbear
21,back in blood,pooh shiesty featuring lil durk
22,without you,the kid laroi
23,the good ones,gabby barrett
24,go crazy,chris brown & young thug
25,you broke me first.,tate mcrae
26,34+35,ariana grande
27,hell of a view,eric church
28,forever after all,luke combs
29,what's next,drake
30,time today,moneybagg yo
31,therefore i am,billie eilish
32,dakiti,bad bunny & jhay cortez
33,positions,ariana grande
34,shottas (lala),moneybagg yo
35,solid,young thug & gunna featuring drake
36,track star,mooski
37,ski,young thug & gunna
38,wants and needs,drake featuring lil baby
39,you're mines still,yung bleu featuring drake
40,we're good,dua lipa
41,heat waves,glass animals
42,made for you,jake owen
43,good days,sza
44,for the night,pop smoke featuring lil baby & dababy
45,breaking up was easy in the 90's,sam hunt
46,no more parties,coi leray featuring lil durk
47,goosebumps,travis scott & hvme
48,telepatia,kali uchis
49,tombstone,rod wave
50,streets,doja cat
51,go!,moneybagg yo featuring big30
52,hard for the next,moneybagg yo & future
53,if pain was a person,moneybagg yo
54,what's your country song,thomas rhett
55,just the way,parmalee x blanco brown
56,hold on,justin bieber
57,settling down,miranda lambert
58,wockesha,moneybagg yo
59,botella tras botella,gera mx + christian nodal
60,willow,taylor swift
61,damage,h.e.r.
62,street runner,rod wave
63,come through,h.e.r. featuring chris brown
64,somebody like that,tenille arts
65,pov,ariana grande
66,lil bit,nelly & florida georgia line
67,gone,dierks bentley
68,nobody,dylan scott
69,famous friends,chris young + kane brown
70,quicksand,morray
71,lady,brett young
72,the business,tiesto
73,la noche de anoche,bad bunny & rosalia
74,one too many,keith urban duet with p!nk
75,richer,rod wave featuring polo g
76,almost maybes,jordan davis
77,follow you,imagine dragons
78,glad you exist,dan + shay
79,free promo,moneybagg yo featuring polo g & lil durk
80,pick up your feelings,jazmine sullivan
81,just say det,moneybagg yo
82,big gangsta,kevin gates
83,down to one,luke bryan
84,headshot,"lil tjay, polo g & fivio foreign"
85,hellcats & trackhawks,lil durk
86,anyone,justin bieber
87,my head and my heart,ava max
88,how they remember you,rascal flatts
89,arcade,duncan laurence
90,drunk (and i don't wanna go home),elle king & miranda lambert
91,masterpiece,dababy
92,long live,florida georgia line
93,chasing after you,ryan hurd with maren morris
94,drankin n smokin,future & lil uzi vert
95,4 da gang,42 dugg & roddy ricch
96,blame it on you,jason aldean
97,wasted on you,morgan wallen
98,way less sad,ajr
99,clear da air,moneybagg yo
