danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,audio_features,463CkQjx2Zk1yXoBuierM9,spotify:track:463CkQjx2Zk1yXoBuierM9,https://api.spotify.com/v1/tracks/463CkQjx2Zk1yXoBuierM9,https://api.spotify.com/v1/audio-analysis/463CkQjx2Zk1yXoBuierM9,203064,4
0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,audio_features,748mdHapucXQri7IAO8yFK,spotify:track:748mdHapucXQri7IAO8yFK,https://api.spotify.com/v1/tracks/748mdHapucXQri7IAO8yFK,https://api.spotify.com/v1/audio-analysis/748mdHapucXQri7IAO8yFK,208867,4
0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,audio_features,37BZB0z9T8Xu7U3e65qxFy,spotify:track:37BZB0z9T8Xu7U3e65qxFy,https://api.spotify.com/v1/tracks/37BZB0z9T8Xu7U3e65qxFy,https://api.spotify.com/v1/audio-analysis/37BZB0z9T8Xu7U3e65qxFy,191014,4
0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,audio_features,4iJyoBOLtHqaGxP12qzhQI,spotify:track:4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/tracks/4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/audio-analysis/4iJyoBOLtHqaGxP12qzhQI,198082,4
0.634,0.285,9,-14.007,0,0.0807,0.937,0.000359,0.232,0.203,129.65,audio_features,5qNh5WtzMbfpSj2jLlBkoD,spotify:track:5qNh5WtzMbfpSj2jLlBkoD,https://api.spotify.com/v1/tracks/5qNh5WtzMbfpSj2jLlBkoD,https://api.spotify.com/v1/audio-analysis/5qNh5WtzMbfpSj2jLlBkoD,245897,4
0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818,audio_features,3BZEcbdtXQSo7OrvKRJ6mb,spotify:track:3BZEcbdtXQSo7OrvKRJ6mb,https://api.spotify.com/v1/tracks/3BZEcbdtXQSo7OrvKRJ6mb,https://api.spotify.com/v1/audio-analysis/3BZEcbdtXQSo7OrvKRJ6mb,137876,4
0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,audio_features,43PGPuHIlVOc04jrZVh9L6,spotify:track:43PGPuHIlVOc04jrZVh9L6,https://api.spotify.com/v1/tracks/43PGPuHIlVOc04jrZVh9L6,https://api.spotify.com/v1/audio-analysis/43PGPuHIlVOc04jrZVh9L6,165926,4
0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,audio_features,7MAibcTli4IisCtbHKrGMh,spotify:track:7MAibcTli4IisCtbHKrGMh,https://api.spotify.com/v1/tracks/7MAibcTli4IisCtbHKrGMh,https://api.spotify.com/v1/audio-analysis/7MAibcTli4IisCtbHKrGMh,242096,4
0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917,audio_features,5uEYRdEIh9Bo4fpjDd4Na9,spotify:track:5uEYRdEIh9Bo4fpjDd4Na9,https://api.spotify.com/v1/tracks/5uEYRdEIh9Bo4fpjDd4Na9,https://api.spotify.com/v1/audio-analysis/5uEYRdEIh9Bo4fpjDd4Na9,162803,4
0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,audio_features,3Ofmpyhv5UAQ70mENzB277,spotify:track:3Ofmpyhv5UAQ70mENzB277,https://api.spotify.com/v1/tracks/3Ofmpyhv5UAQ70mENzB277,https://api.spotify.com/v1/audio-analysis/3Ofmpyhv5UAQ70mENzB277,132780,4
0.655,0.469,0,-6.257,1,0.0292,0.173,0.0,0.0956,0.467,92.56,audio_features,1EHUQesfVKwbthtNcpBi9g,spotify:track:1EHUQesfVKwbthtNcpBi9g,https://api.spotify.com/v1/tracks/1EHUQesfVKwbthtNcpBi9g,https://api.spotify.com/v1/audio-analysis/1EHUQesfVKwbthtNcpBi9g,161385,4
0.443,0.459,0,-8.955,1,0.074,0.546,1.05e-06,0.307,0.565,87.064,audio_features,27tDoZsybt3KvJWTDoW9id,spotify:track:27tDoZsybt3KvJWTDoW9id,https://api.spotify.com/v1/tracks/27tDoZsybt3KvJWTDoW9id,https://api.spotify.com/v1/audio-analysis/27tDoZsybt3KvJWTDoW9id,198371,5
0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,audio_features,6fRxMU4LWwyaSSowV441IU,spotify:track:6fRxMU4LWwyaSSowV441IU,https://api.spotify.com/v1/tracks/6fRxMU4LWwyaSSowV441IU,https://api.spotify.com/v1/audio-analysis/6fRxMU4LWwyaSSowV441IU,227395,4
0.439,0.61,9,-7.236,1,0.116,0.593,1.07e-05,0.341,0.172,181.088,audio_features,61KpQadow081I2AsbeLcsb,spotify:track:61KpQadow081I2AsbeLcsb,https://api.spotify.com/v1/tracks/61KpQadow081I2AsbeLcsb,https://api.spotify.com/v1/audio-analysis/61KpQadow081I2AsbeLcsb,215508,4
0.658,0.634,1,-5.797,0,0.0413,0.0106,0.0,0.132,0.29,139.98,audio_features,4u4NyuceXP7Uzh7XFJKCr1,spotify:track:4u4NyuceXP7Uzh7XFJKCr1,https://api.spotify.com/v1/tracks/4u4NyuceXP7Uzh7XFJKCr1,https://api.spotify.com/v1/audio-analysis/4u4NyuceXP7Uzh7XFJKCr1,170813,4
0.507,0.828,10,-6.023,1,0.0449,0.00711,2.44e-05,0.261,0.489,178.032,audio_features,0939D7aT18uBDS2MTjWzct,spotify:track:0939D7aT18uBDS2MTjWzct,https://api.spotify.com/v1/tracks/0939D7aT18uBDS2MTjWzct,https://api.spotify.com/v1/audio-analysis/0939D7aT18uBDS2MTjWzct,211295,4
0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,3USxtqRwSYz57Ewm6wWRMp,spotify:track:3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,238805,4
0.84,0.766,4,-4.12,1,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,audio_features,2etHQJxIbV0soyPhelVs9Y,spotify:track:2etHQJxIbV0soyPhelVs9Y,https://api.spotify.com/v1/tracks/2etHQJxIbV0soyPhelVs9Y,https://api.spotify.com/v1/audio-analysis/2etHQJxIbV0soyPhelVs9Y,155884,4
0.757,0.721,4,-2.906,0,0.0691,0.00196,0.0,0.647,0.364,124.036,audio_features,20GrahbI4AzAOWxpYfDKkf,spotify:track:20GrahbI4AzAOWxpYfDKkf,https://api.spotify.com/v1/tracks/20GrahbI4AzAOWxpYfDKkf,https://api.spotify.com/v1/audio-analysis/20GrahbI4AzAOWxpYfDKkf,165366,4
